TOTAL CLIENTES;TOTAL ATENDIDOS;DESERTADOS;DESPUES DE CERRAR;PROMEDIO INTERMEDIO;PROMEDIO DE SERVICIO;PROMEDIO DE RETRASO;PROMEDIO DE ESPERA
55;50;5;10;0.290909091;12.58181818;245.8363636;258.4181818
42;42;0;5;0.380952381;13.07142857;235.3095238;248.3809524
45;45;0;10;0.355555556;13.51111111;316.2666667;329.7777778
46;46;0;2;0.347826087;13.39130435;212.9565217;226.3478261
39;39;0;8;0.41025641;14.71794872;271.3589744;286.0769231
37;34;3;7;0.432432432;16.05405405;286.1621622;302.2162162
51;51;0;8;0.31372549;13.37254902;242.7058824;256.0784314
50;50;0;8;0.32;12.9;267.92;280.82
53;52;1;8;0.301886792;11.81132075;251.754717;263.5660377
44;44;0;6;0.363636364;16.20454545;243.2045455;259.4090909
41;41;0;10;0.390243902;18.65853659;276.0731707;294.7317073
40;40;0;9;0.4;16.625;280.85;297.475
37;37;0;9;0.432432432;17.48648649;275.2162162;292.7027027
57;46;11;10;0.280701754;13.80701754;244.9473684;258.754386
46;38;8;10;0.347826087;14.02173913;263.173913;277.1956522
41;41;0;3;0.390243902;11.48780488;236.902439;248.3902439
37;37;0;0;0.432432432;12.62162162;215.3513514;227.972973
43;43;0;7;0.372093023;13.74418605;259.0465116;272.7906977
41;41;0;7;0.341463415;12.14634146;285.2682927;297.4146341
51;47;4;6;0.31372549;14.45098039;251.1960784;265.6470588
49;49;0;8;0.326530612;13.16326531;246.7346939;259.8979592
45;45;0;7;0.355555556;12.02222222;249.3333333;261.3555556
29;29;0;2;0.551724138;16.03448276;274.8965517;290.9310345
37;37;0;3;0.432432432;16.18918919;216.5675676;232.7567568
55;52;3;11;0.290909091;11.85454545;274.9090909;286.7636364
50;50;0;9;0.32;13.08;264.78;277.86
40;40;0;5;0.4;12.475;240.2;252.675
40;37;3;8;0.4;19.525;287.8;307.325
43;43;0;2;0.372093023;13.58139535;238.6976744;252.2790698
44;44;0;9;0.363636364;14.18181818;254.2272727;268.4090909
38;38;0;4;0.421052632;14.34210526;286.0789474;300.4210526
53;53;0;8;0.301886792;12.90566038;237.5283019;250.4339623
43;36;7;9;0.348837209;13.3255814;249.3953488;262.7209302
41;41;0;7;0.390243902;14.82926829;262.097561;276.9268293
37;37;0;2;0.432432432;15.81081081;244;259.8108108
47;42;5;10;0.340425532;13.76595745;258.5531915;272.3191489
48;48;0;10;0.333333333;13.79166667;253.9791667;267.7708333
50;44;6;8;0.32;11.9;266.18;278.08
44;44;0;6;0.363636364;12.25;247.0454545;259.2954545
52;52;0;4;0.307692308;10.67307692;226.9807692;237.6538462
38;38;0;8;0.421052632;14.60526316;286.0526316;300.6578947
64;47;17;9;0.25;11.75;181.625;193.375
42;42;0;8;0.380952381;13.19047619;249.1428571;262.3333333
39;39;0;7;0.41025641;16.05128205;270.974359;287.025641
45;45;0;8;0.355555556;13.64444444;231.3333333;244.9777778
49;45;4;10;0.326530612;14.20408163;268.2653061;282.4693878
47;41;6;11;0.340425532;15.63829787;260.8085106;276.4468085
39;39;0;5;0.41025641;13.12820513;232.7948718;245.9230769
40;40;0;8;0.4;15.15;279.775;294.925
34;34;0;3;0.470588235;16.11764706;232.3823529;248.5
50;50;0;13;0.32;15.9;303.24;319.14
34;33;1;8;0.470588235;20.44117647;273.7647059;294.2058824
57;56;1;13;0.280701754;14.45614035;255.9824561;270.4385965
50;38;12;8;0.32;13.98;238.62;252.6
48;43;5;8;0.333333333;16.0625;258.8541667;274.9166667
48;48;0;9;0.333333333;15.52083333;258.0416667;273.5625
46;45;1;6;0.347826087;13.97826087;269.173913;283.1521739
45;42;3;10;0.355555556;17.8;267.2666667;285.0666667
44;44;0;6;0.363636364;13.63636364;237.2045455;250.8409091
43;43;0;8;0.372093023;14.76744186;264.7209302;279.4883721
46;46;0;10;0.347826087;17.39130435;264.9782609;282.3695652
47;47;0;5;0.340425532;13.17021277;217.4893617;230.6595745
35;35;0;3;0.457142857;13.22857143;213.3428571;226.5714286
33;33;0;0;0.484848485;13.72727273;203.6969697;217.4242424
41;41;0;0;0.390243902;14.14634146;197.902439;212.0487805
40;40;0;6;0.4;16;218.7;234.7
47;44;3;11;0.340425532;15.10638298;262.9787234;278.0851064
49;34;15;12;0.326530612;14.97959184;218.3673469;233.3469388
42;42;0;3;0.380952381;17.16666667;219.7857143;236.952381
39;39;0;5;0.41025641;17.69230769;247.2051282;264.8974359
47;47;0;7;0.340425532;14.59574468;259.3191489;273.9148936
55;51;4;9;0.290909091;16.01818182;241.8727273;257.8909091
51;50;1;14;0.31372549;15.88235294;294.5098039;310.3921569
62;50;12;10;0.258064516;11.43548387;223.9516129;235.3870968
56;52;4;10;0.285714286;14.17857143;244.4642857;258.6428571
43;33;10;11;0.372093023;17.27906977;273.6046512;290.8837209
62;53;9;11;0.258064516;11.11290323;239.8064516;250.9193548
53;47;6;13;0.301886792;14.01886792;233.1509434;247.1698113
36;36;0;2;0.444444444;13.22222222;209.4166667;222.6388889
31;31;0;0;0.451612903;12.90322581;291.4193548;304.3225806
54;47;7;7;0.296296296;14.64814815;246.3888889;261.037037
46;42;4;6;0.347826087;15.08695652;230.4565217;245.5434783
39;39;0;7;0.41025641;14.82051282;262.4358974;277.2564103
46;43;3;8;0.347826087;14.76086957;283.0652174;297.826087
50;50;0;10;0.32;18.78;240.36;259.14
41;41;0;7;0.390243902;13.2195122;261.097561;274.3170732
52;52;0;12;0.307692308;15.23076923;230.4423077;245.6730769
37;37;0;0;0.432432432;15.75675676;175.1351351;190.8918919
45;44;1;11;0.355555556;15.06666667;294.1333333;309.2
55;48;7;11;0.290909091;12.45454545;246.2727273;258.7272727
57;50;7;12;0.280701754;12.28070175;253.0701754;265.3508772
48;44;4;3;0.333333333;13.375;222.2916667;235.6666667
50;50;0;4;0.32;14.5;197.7;212.2
57;37;20;7;0.280701754;11.21052632;202.7017544;213.9122807
43;41;2;13;0.372093023;16.46511628;287.6976744;304.1627907
52;48;4;13;0.307692308;16.65384615;252.6923077;269.3461538
60;45;15;11;0.266666667;13.01666667;217.55;230.5666667
46;46;0;9;0.347826087;14.32608696;251.0434783;265.3695652
37;33;4;12;0.378378378;18.54054054;335.9459459;354.4864865
51;39;12;9;0.31372549;12.1372549;225.1960784;237.3333333
31;31;0;3;0.516129032;22.51612903;184.8387097;207.3548387
37;37;0;0;0.432432432;11.43243243;156.7027027;168.1351351
50;49;1;10;0.32;13.34;282.92;296.26
45;45;0;9;0.355555556;19.64444444;254.7555556;274.4
32;32;0;0;0.5;16.0625;192.5625;208.625
44;44;0;8;0.363636364;15.56818182;257.8636364;273.4318182
41;41;0;1;0.390243902;13.75609756;193.7317073;207.4878049
46;45;1;11;0.347826087;14.08695652;318.7608696;332.8478261
45;43;2;8;0.355555556;13.66666667;268.4;282.0666667
46;46;0;4;0.347826087;16.45652174;242.0434783;258.5
38;38;0;9;0.421052632;19.34210526;278.7368421;298.0789474
41;41;0;8;0.390243902;13.58536585;264.9268293;278.5121951
49;44;5;2;0.326530612;11.81632653;226.4081633;238.2244898
45;43;2;11;0.355555556;14.57777778;292.2222222;306.8
42;42;0;9;0.380952381;15.19047619;281.7619048;296.952381
45;45;0;2;0.355555556;14.95555556;199.8666667;214.8222222
32;32;0;1;0.5;14.71875;238.1875;252.90625
48;47;1;10;0.333333333;12.97916667;262.3125;275.2916667
36;36;0;6;0.444444444;19.61111111;248.0277778;267.6388889
40;39;1;12;0.4;17.575;297.425;315
48;46;2;8;0.333333333;13.39583333;271.1875;284.5833333
45;42;3;10;0.355555556;15.26666667;292.7333333;308
48;37;11;13;0.333333333;15.04166667;250.5208333;265.5625
42;42;0;0;0.380952381;11.73809524;223.1190476;234.8571429
49;41;8;11;0.326530612;15.08163265;248.7346939;263.8163265
48;44;4;10;0.333333333;14.22916667;277.3333333;291.5625
34;34;0;7;0.470588235;18.64705882;270.0294118;288.6764706
47;44;3;11;0.340425532;14.38297872;303.0212766;317.4042553
57;43;14;13;0.280701754;12.07017544;219.8245614;231.8947368
38;38;0;8;0.421052632;15.23684211;268.1578947;283.3947368
58;45;13;10;0.275862069;13.55172414;219.3275862;232.8793103
43;41;2;13;0.372093023;15.81395349;270.7674419;286.5813953
53;49;4;10;0.301886792;13.01886792;262.509434;275.5283019
33;33;0;0;0.484848485;15.96969697;216.2424242;232.2121212
44;44;0;8;0.363636364;14.29545455;239.2727273;253.5681818
41;41;0;5;0.390243902;16.7804878;189.7560976;206.5365854
36;36;0;6;0.444444444;17.63888889;269.4166667;287.0555556
40;40;0;4;0.4;16.8;238.675;255.475
53;51;2;11;0.301886792;14.8490566;254.7924528;269.6415094
43;43;0;1;0.372093023;12.04651163;182.8372093;194.8837209
49;49;0;3;0.326530612;12.40816327;216.3061224;228.7142857
43;43;0;5;0.372093023;14.95348837;229.9767442;244.9302326
43;43;0;7;0.372093023;18.13953488;235.8139535;253.9534884
41;37;4;0;0.390243902;14.3902439;198.4878049;212.8780488
55;50;5;9;0.290909091;10.8;251.4727273;262.2727273
47;47;0;4;0.340425532;13.57446809;255.5106383;269.0851064
43;43;0;2;0.372093023;12.97674419;200.9767442;213.9534884
36;36;0;3;0.444444444;16.91666667;247.3333333;264.25
48;48;0;8;0.333333333;14.35416667;278.1041667;292.4583333
44;44;0;8;0.363636364;14.13636364;282.2954545;296.4318182
50;50;0;13;0.32;16.28;300.3;316.58
39;39;0;13;0.41025641;23.28205128;366.4615385;389.7435897
47;39;8;10;0.340425532;14.78723404;255.6170213;270.4042553
48;45;3;11;0.333333333;13.375;279.3958333;292.7708333
36;36;0;2;0.444444444;13.5;242.4722222;255.9722222
30;30;0;1;0.533333333;17.23333333;184.5333333;201.7666667
31;31;0;0;0.516129032;17.48387097;215.0967742;232.5806452
44;44;0;5;0.363636364;15.47727273;202.1590909;217.6363636
48;46;2;10;0.333333333;12.6875;267.1458333;279.8333333
36;36;0;0;0.444444444;14.22222222;163.4166667;177.6388889
43;43;0;0;0.372093023;12.46511628;210.6511628;223.1162791
37;37;0;11;0.432432432;20.45945946;302.9189189;323.3783784
48;48;0;9;0.333333333;15.16666667;290.4375;305.6041667
47;46;1;11;0.340425532;14.70212766;286.106383;300.8085106
54;42;12;11;0.277777778;13.27777778;223.9074074;237.1851852
40;40;0;10;0.4;20.175;283.825;304
54;46;8;10;0.296296296;13.51851852;242.6296296;256.1481481
59;47;12;10;0.271186441;13.18644068;213.2372881;226.4237288
36;36;0;5;0.444444444;15.94444444;259.9444444;275.8888889
52;47;5;7;0.307692308;12.13461538;254.3269231;266.4615385
46;46;0;6;0.347826087;14.82608696;218.2826087;233.1086957
58;50;8;12;0.275862069;12.31034483;240.137931;252.4482759
56;44;12;12;0.285714286;17.05357143;238.1428571;255.1964286
46;44;2;10;0.347826087;17.43478261;266.8695652;284.3043478
40;40;0;0;0.4;12.775;226.125;238.9
58;44;14;12;0.275862069;15.60344828;226.3275862;241.9310345
35;35;0;3;0.457142857;14.02857143;243.6;257.6285714
46;37;9;6;0.347826087;16.41304348;221.7173913;238.1304348
42;42;0;6;0.380952381;14.5;269.2857143;283.7857143
51;44;7;12;0.31372549;14.78431373;236.5882353;251.372549
60;50;10;13;0.266666667;10.76666667;239.75;250.5166667
37;37;0;0;0.432432432;14.67567568;211.7027027;226.3783784
47;47;0;3;0.340425532;14.42553191;207.4042553;221.8297872
47;47;0;8;0.340425532;14.08510638;253.5957447;267.6808511
40;40;0;4;0.4;17.1;239.9;257
42;42;0;11;0.380952381;14;283.3809524;297.3809524
45;44;1;7;0.355555556;14.28888889;230.9555556;245.2444444
34;34;0;2;0.470588235;15.17647059;258.5294118;273.7058824
46;46;0;6;0.347826087;12.34782609;226.1304348;238.4782609
34;34;0;3;0.470588235;15.58823529;218.5588235;234.1470588
46;46;0;2;0.347826087;12.69565217;202.673913;215.3695652
52;48;4;12;0.307692308;13.44230769;253.9230769;267.3653846
43;43;0;4;0.372093023;11.34883721;223.6976744;235.0465116
35;35;0;9;0.457142857;19.17142857;293.2285714;312.4
42;42;0;4;0.380952381;15.26190476;242.4761905;257.7380952
42;42;0;12;0.380952381;13.42857143;273.8571429;287.2857143
49;40;9;13;0.326530612;15.65306122;266.4897959;282.1428571
40;40;0;6;0.35;15.675;248.7;264.375
46;46;0;12;0.347826087;14.56521739;274.2173913;288.7826087
43;43;0;5;0.372093023;14.55813953;229.6046512;244.1627907
48;47;1;9;0.333333333;15.33333333;282.8541667;298.1875
45;43;2;5;0.355555556;12.84444444;265.0444444;277.8888889
44;44;0;7;0.363636364;13.75;243.9545455;257.7045455
54;44;10;11;0.296296296;15.09259259;221.1296296;236.2222222
43;38;5;11;0.372093023;18.53488372;259.627907;278.1627907
39;39;0;4;0.41025641;14.79487179;228.0769231;242.8717949
41;40;1;10;0.390243902;18.75609756;305.3902439;324.1463415
41;41;0;3;0.390243902;14.70731707;222.9756098;237.6829268
45;45;0;8;0.355555556;15.22222222;268.0222222;283.2444444
45;45;0;12;0.355555556;15.64444444;295.0666667;310.7111111
57;41;16;11;0.280701754;12.78947368;231.5614035;244.3508772
49;43;6;11;0.326530612;13.81632653;235.6326531;249.4489796
34;34;0;4;0.470588235;14.64705882;274.4411765;289.0882353
60;44;16;13;0.266666667;13.36666667;230.7833333;244.15
39;39;0;6;0.41025641;14.30769231;276.7435897;291.0512821
37;33;4;12;0.432432432;17.10810811;298.2972973;315.4054054
39;39;0;3;0.41025641;12.66666667;244.5128205;257.1794872
38;38;0;5;0.421052632;14.63157895;246.1052632;260.7368421
35;35;0;0;0.457142857;13.74285714;186.6285714;200.3714286
37;37;0;8;0.432432432;21;306.1621622;327.1621622
46;46;0;8;0.347826087;15.60869565;268.326087;283.9347826
46;39;7;10;0.347826087;15.56521739;244.0217391;259.5869565
45;45;0;10;0.355555556;17.44444444;298.0888889;315.5333333
41;41;0;0;0.390243902;11.07317073;194.6585366;205.7317073
34;34;0;15;0.470588235;22.29411765;357.1764706;379.4705882
51;39;12;14;0.31372549;16.70588235;274.5098039;291.2156863
45;45;0;7;0.355555556;12.75555556;252.5777778;265.3333333
38;38;0;6;0.421052632;14.89473684;245.3157895;260.2105263
54;52;2;11;0.296296296;12.55555556;258.0555556;270.6111111
47;45;2;10;0.340425532;13.21276596;263.8297872;277.0425532
47;44;3;8;0.340425532;15.76595745;278.6382979;294.4042553
48;41;7;9;0.333333333;13.58333333;265.875;279.4583333
39;39;0;4;0.41025641;15.1025641;258.6666667;273.7692308
49;49;0;6;0.326530612;15.16326531;258.1632653;273.3265306
60;48;12;8;0.25;12.5;196.0166667;208.5166667
30;30;0;1;0.533333333;15.1;209.8333333;224.9333333
47;33;14;12;0.319148936;17.87234043;257.9148936;275.787234
51;50;1;10;0.31372549;17;266.254902;283.254902
36;36;0;6;0.444444444;16;291.9166667;307.9166667
37;37;0;6;0.432432432;15.81081081;239;254.8108108
53;41;12;11;0.301886792;16.56603774;230.3962264;246.9622642
43;43;0;6;0.372093023;13.39534884;221.5581395;234.9534884
64;42;22;12;0.234375;12.96875;176.328125;189.296875
46;44;2;10;0.347826087;16.76086957;288.1086957;304.8695652
44;44;0;11;0.363636364;16.77272727;262.3636364;279.1363636
60;47;13;14;0.266666667;13.28333333;252.2833333;265.5666667
46;45;1;14;0.347826087;15.89130435;289.8695652;305.7608696
62;52;10;13;0.258064516;12.19354839;225.6935484;237.8870968
43;43;0;2;0.372093023;13.34883721;227.8604651;241.2093023
51;51;0;6;0.31372549;11.8627451;249.9607843;261.8235294
47;44;3;10;0.340425532;14.4893617;238.3404255;252.8297872
42;42;0;3;0.380952381;13.85714286;250.9047619;264.7619048
43;41;2;5;0.372093023;16.06976744;270.7906977;286.8604651
50;44;6;10;0.32;12.64;274.62;287.26
52;50;2;11;0.307692308;14.46153846;299.0961538;313.5576923
43;39;4;11;0.372093023;18.23255814;289.9767442;308.2093023
43;39;4;11;0.372093023;18.90697674;279.5813953;298.4883721
45;45;0;12;0.355555556;15.24444444;305.3777778;320.6222222
34;34;0;0;0.470588235;15.17647059;226.1764706;241.3529412
48;48;0;3;0.333333333;15.35416667;188;203.3541667
35;35;0;8;0.457142857;19.4;290.2;309.6
48;48;0;9;0.333333333;14.47916667;261.5625;276.0416667
43;43;0;0;0.372093023;14.62790698;215.1162791;229.744186
41;41;0;12;0.390243902;18.14634146;297.3902439;315.5365854
46;46;0;8;0.347826087;19.91304348;270.5217391;290.4347826
37;37;0;9;0.378378378;19.24324324;326.2432432;345.4864865
36;36;0;14;0.444444444;18.33333333;310.8611111;329.1944444
37;37;0;12;0.432432432;17.62162162;311.7297297;329.3513514
44;44;0;9;0.363636364;15.70454545;282.8636364;298.5681818
52;42;10;11;0.307692308;13.38461538;249.6346154;263.0192308
35;35;0;3;0.457142857;18.68571429;253.6857143;272.3714286
41;41;0;0;0.390243902;11.2195122;224.4146341;235.6341463
51;41;10;13;0.31372549;15.07843137;241;256.0784314
44;44;0;11;0.363636364;17;254.0909091;271.0909091
47;47;0;5;0.340425532;14.0212766;260.1489362;274.1702128
52;40;12;14;0.288461538;18;240.8653846;258.8653846
48;43;5;12;0.333333333;14.3125;269.6041667;283.9166667
48;39;9;9;0.333333333;18.52083333;262.125;280.6458333
36;36;0;2;0.444444444;14.5;234.1944444;248.6944444
43;42;1;10;0.372093023;15.27906977;262.9534884;278.2325581
51;51;0;6;0.31372549;14.47058824;210.6078431;225.0784314
43;43;0;6;0.372093023;14.13953488;222.2093023;236.3488372
39;39;0;3;0.41025641;16.66666667;225.2564103;241.9230769
48;48;0;6;0.333333333;16.20833333;219.2708333;235.4791667
51;42;9;10;0.31372549;15.05882353;248.5686275;263.627451
45;42;3;12;0.355555556;17.02222222;293.5777778;310.6
45;45;0;12;0.355555556;16.91111111;288.8222222;305.7333333
49;44;5;11;0.326530612;16.53061224;271.5918367;288.122449
52;52;0;9;0.307692308;15.09615385;254.8846154;269.9807692
48;45;3;11;0.333333333;14.47916667;270.2708333;284.75
40;40;0;2;0.4;13.475;254.375;267.85
45;43;2;13;0.355555556;16.86666667;274.2888889;291.1555556
34;34;0;5;0.470588235;15.05882353;229.1470588;244.2058824
49;44;5;11;0.326530612;13.95918367;256.4897959;270.4489796
36;36;0;5;0.388888889;16.63888889;271.9444444;288.5833333
45;34;11;11;0.311111111;14.22222222;264.4666667;278.6888889
45;45;0;1;0.355555556;14.97777778;184.5333333;199.5111111
49;49;0;3;0.326530612;15.20408163;221.4081633;236.6122449
37;37;0;0;0.432432432;14.02702703;248.4324324;262.4594595
47;40;7;12;0.340425532;15.93617021;273.2553191;289.1914894
47;35;12;11;0.340425532;15.21276596;211.3829787;226.5957447
32;32;0;1;0.5;15.59375;239.8125;255.40625
37;37;0;1;0.432432432;14.32432432;228.4324324;242.7567568
52;44;8;11;0.307692308;14.36538462;233.2692308;247.6346154
47;47;0;5;0.340425532;10.53191489;277.3617021;287.893617
54;47;7;12;0.296296296;12.90740741;254.9814815;267.8888889
39;39;0;7;0.41025641;15.41025641;264.0769231;279.4871795
59;38;21;14;0.271186441;11.94915254;214.3389831;226.2881356
45;45;0;6;0.355555556;14.26666667;250.8666667;265.1333333
39;39;0;9;0.41025641;15.43589744;317.1538462;332.5897436
56;43;13;13;0.285714286;15.03571429;250.5;265.5357143
51;45;6;7;0.31372549;14.1372549;235;249.1372549
46;43;3;10;0.304347826;15;265.673913;280.673913
42;42;0;5;0.380952381;14.07142857;236.7619048;250.8333333
51;50;1;13;0.31372549;13.41176471;252.7254902;266.1372549
39;39;0;8;0.41025641;16.82051282;224.7179487;241.5384615
47;45;2;12;0.340425532;16.55319149;261.5106383;278.0638298
58;47;11;9;0.275862069;12.79310345;209.1896552;221.9827586
54;45;9;11;0.296296296;14.05555556;226.9814815;241.037037
53;48;5;8;0.301886792;14.0754717;246.3584906;260.4339623
43;43;0;6;0.372093023;15.8372093;281.1162791;296.9534884
40;40;0;6;0.4;15.875;229.95;245.825
51;43;8;9;0.31372549;14.23529412;232.6078431;246.8431373
49;47;2;8;0.326530612;11.46938776;251.6734694;263.1428571
52;52;0;13;0.307692308;14.65384615;276.3653846;291.0192308
59;50;9;14;0.271186441;14.42372881;231.6101695;246.0338983
38;38;0;0;0.421052632;12.36842105;192.2631579;204.6315789
